# vi: sw=20 ts=20
X:$0,0,24,S	24-bit servo cycle counter
Y:$78115,9	Channel 7 amplifier mode bit
Y:$78115,0,16	Channel 7 amplifier status flags
Y:$78807,6	Channel 7 encoder loss
X:$78110,9	Channel 7 position compare output readout
X:$78110,23	Channel 7 T flag input status
X:$78310,23	Channel 7 T flag input status
X:$79310,23	Channel 7 T flag input status
X:$7A310,23	Channel 7 T flag input status
X:$78110,20,4	Channel 7 TUVW inputs as 4-bit value
X:$78310,20,4	Channel 7 TUVW inputs as 4-bit value
X:$79310,20,4	Channel 7 TUVW inputs as 4-bit value
X:$7A310,20,4	Channel 7 TUVW inputs as 4-bit value
X:$78110,22	Channel 7 U flag input status
X:$78310,22	Channel 7 U flag input status
X:$79310,22	Channel 7 U flag input status
X:$7A310,22	Channel 7 U flag input status
X:$78110,21	Channel 7 V flag input status
X:$78310,21	Channel 7 V flag input status
X:$79310,21	Channel 7 V flag input status
X:$7A310,21	Channel 7 V flag input status
X:$78110,20	Channel 7 W flag input status
X:$78310,20	Channel 7 W flag input status
X:$79310,20	Channel 7 W flag input status
X:$7A310,20	Channel 7 W flag input status
Y:$7811D,9	Channel 8 amplifier mode bit
Y:$7811D,0,16	Channel 8 amplifier status flags
Y:$78807,7	Channel 8 encoder loss
X:$78118,9	Channel 8 position compare output readout
X:$78118,23	Channel 8 T flag input status
X:$78318,23	Channel 8 T flag input status
X:$79318,23	Channel 8 T flag input status
X:$7A318,23	Channel 8 T flag input status
X:$78118,20,4	Channel 8 TUVW inputs as 4-bit value
X:$78318,20,4	Channel 8 TUVW inputs as 4-bit value
X:$79318,20,4	Channel 8 TUVW inputs as 4-bit value
X:$7A318,20,4	Channel 8 TUVW inputs as 4-bit value
X:$78118,22	Channel 8 U flag input status
X:$78318,22	Channel 8 U flag input status
X:$79318,22	Channel 8 U flag input status
X:$7A318,22	Channel 8 U flag input status
X:$78118,21	Channel 8 V flag input status
X:$78318,21	Channel 8 V flag input status
X:$79318,21	Channel 8 V flag input status
X:$7A318,21	Channel 8 V flag input status
X:$78118,20	Channel 8 W flag input status
X:$78318,20	Channel 8 W flag input status
X:$79318,20	Channel 8 W flag input status
X:$7A318,20	Channel 8 W flag input status
X:$78000,14	CHC1 input status
X:$78200,14	CHC1 input status
X:$79200,14	CHC1 input status
X:$7A200,14	CHC1 input status
X:$78008,14	CHC2 input status
X:$78208,14	CHC2 input status
X:$79208,14	CHC2 input status
X:$7A208,14	CHC2 input status
X:$78010,14	CHC3 input status
X:$78210,14	CHC3 input status
X:$79210,14	CHC3 input status
X:$7A210,14	CHC3 input status
X:$78018,16	CHC4 input status
X:$78218,16	CHC4 input status
X:$79218,16	CHC4 input status
X:$7A218,16	CHC4 input status
X:$78100,14	CHC5 input status
X:$78300,14	CHC5 input status
X:$79300,14	CHC5 input status
X:$7A300,14	CHC5 input status
X:$78108,14	CHC6 input status
X:$78308,14	CHC6 input status
X:$79308,14	CHC6 input status
X:$7A308,14	CHC6 input status
X:$78110,14	CHC7 input status
X:$78110,19	CHC7 input status
X:$78310,14	CHC7 input status
X:$78310,19	CHC7 input status
X:$79310,14	CHC7 input status
X:$79310,19	CHC7 input status
X:$7A310,14	CHC7 input status
X:$7A310,19	CHC7 input status
X:$78118,14	CHC8 input status
X:$78318,14	CHC8 input status
X:$79318,14	CHC8 input status
X:$7A318,14	CHC8 input status
L:$2041	CS 1 A-axis target position (engineering units)
Y:$203F,20,1	CS 1 Amp-fault-error bit (OR of motors)
L:$2042	CS 1 B-axis target position (engineering units)
L:$2043	CS 1 C-axis target position (engineering units)
Y:$203F,21,1	CS 1 Circle-radius-error bit
X:$2040,0,4	CS 1 Continuous motion request
Y:$203F,19,1	CS 1 Fatal-following-error bit (OR)
X:$2000,0,24,S	CS 1 Host commanded time base (I10 units)
Y:$203F,17,1	CS 1 In-position bit (AND of motors)
X:$2015,0,24,S	CS 1 Isx11 timer (for synchronous assignment)
Y:$2015,0,24,S	CS 1 Isx12 timer (for synchronous assignment)
X:$2002,0,24,S	CS 1 Present time base (I10 units)
X:$2040,0,1	CS 1 Program-running bit
Y:$203F,22,1	CS 1 Run-time-error bit
L:$2044	CS 1 U-axis target position (engineering units)
L:$2045	CS 1 V-axis target position (engineering units)
L:$2046	CS 1 W-axis target position (engineering units)
Y:$203F,18,1	CS 1 Warning-following-error bit (OR)
L:$2047	CS 1 X-axis target position (engineering units)
L:$2048	CS 1 Y-axis target position (engineering units)
L:$2049	CS 1 Z-axis target position (engineering units)
L:$2941	CS 10 A-axis target position (engineering units)
Y:$293F,20,1	CS 10 Amp-fault-error bit (OR of motors)
L:$2942	CS 10 B-axis target position (engineering units)
L:$2943	CS 10 C-axis target position (engineering units)
Y:$293F,21,1	CS 10 Circle-radius-error bit
X:$2940,0,4	CS 10 Continuous motion request
Y:$293F,19,1	CS 10 Fatal-following-error bit (OR)
X:$2900,0,24,S	CS 10 Host commanded time base (I10 units)
Y:$293F,17,1	CS 10 In-position bit (AND of motors)
X:$2915,0,24,S	CS 10 Isx11 timer (for synchronous assignment)
Y:$2915,0,24,S	CS 10 Isx12 timer (for synchronous assignment)
X:$2902,0,24,S	CS 10 Present time base (I10 units)
X:$2940,0,1	CS 10 Program-running bit
Y:$293F,22,1	CS 10 Run-time-error bit
L:$2944	CS 10 U-axis target position (engineering units)
L:$2945	CS 10 V-axis target position (engineering units)
L:$2946	CS 10 W-axis target position (engineering units)
Y:$293F,18,1	CS 10 Warning-following-error bit (OR)
L:$2947	CS 10 X-axis target position (engineering units)
L:$2948	CS 10 Y-axis target position (engineering units)
L:$2949	CS 10 Z-axis target position (engineering units)
L:$2A41	CS 11 A-axis target position (engineering units)
Y:$2A3F,20,1	CS 11 Amp-fault-error bit (OR of motors)
L:$2A42	CS 11 B-axis target position (engineering units)
L:$2A43	CS 11 C-axis target position (engineering units)
Y:$2A3F,21,1	CS 11 Circle-radius-error bit
X:$2A40,0,4	CS 11 Continuous motion request
Y:$2A3F,19,1	CS 11 Fatal-following-error bit (OR)
X:$2A00,0,24,S	CS 11 Host commanded time base (I10 units)
Y:$2A3F,17,1	CS 11 In-position bit (AND of motors)
X:$2A15,0,24,S	CS 11 Isx11 timer (for synchronous assignment)
Y:$2A15,0,24,S	CS 11 Isx12 timer (for synchronous assignment)
X:$2A02,0,24,S	CS 11 Present time base (I10 units)
X:$2A40,0,1	CS 11 Program-running bit
Y:$2A3F,22,1	CS 11 Run-time-error bit
L:$2A44	CS 11 U-axis target position (engineering units)
L:$2A45	CS 11 V-axis target position (engineering units)
L:$2A46	CS 11 W-axis target position (engineering units)
Y:$2A3F,18,1	CS 11 Warning-following-error bit (OR)
L:$2A47	CS 11 X-axis target position (engineering units)
L:$2A48	CS 11 Y-axis target position (engineering units)
L:$2A49	CS 11 Z-axis target position (engineering units)
L:$2B41	CS 12 A-axis target position (engineering units)
Y:$2B3F,20,1	CS 12 Amp-fault-error bit (OR of motors)
L:$2B42	CS 12 B-axis target position (engineering units)
L:$2B43	CS 12 C-axis target position (engineering units)
Y:$2B3F,21,1	CS 12 Circle-radius-error bit
X:$2B40,0,4	CS 12 Continuous motion request
Y:$2B3F,19,1	CS 12 Fatal-following-error bit (OR)
X:$2B00,0,24,S	CS 12 Host commanded time base (I10 units)
Y:$2B3F,17,1	CS 12 In-position bit (AND of motors)
X:$2B15,0,24,S	CS 12 Isx11 timer (for synchronous assignment)
Y:$2B15,0,24,S	CS 12 Isx12 timer (for synchronous assignment)
X:$2B02,0,24,S	CS 12 Present time base (I10 units)
X:$2B40,0,1	CS 12 Program-running bit
Y:$2B3F,22,1	CS 12 Run-time-error bit
L:$2B44	CS 12 U-axis target position (engineering units)
L:$2B45	CS 12 V-axis target position (engineering units)
L:$2B46	CS 12 W-axis target position (engineering units)
Y:$2B3F,18,1	CS 12 Warning-following-error bit (OR)
L:$2B47	CS 12 X-axis target position (engineering units)
L:$2B48	CS 12 Y-axis target position (engineering units)
L:$2B49	CS 12 Z-axis target position (engineering units)
L:$2C41	CS 13 A-axis target position (engineering units)
Y:$2C3F,20,1	CS 13 Amp-fault-error bit (OR of motors)
L:$2C42	CS 13 B-axis target position (engineering units)
L:$2C43	CS 13 C-axis target position (engineering units)
Y:$2C3F,21,1	CS 13 Circle-radius-error bit
X:$2C40,0,4	CS 13 Continuous motion request
Y:$2C3F,19,1	CS 13 Fatal-following-error bit (OR)
X:$2C00,0,24,S	CS 13 Host commanded time base (I10 units)
Y:$2C3F,17,1	CS 13 In-position bit (AND of motors)
X:$2C15,0,24,S	CS 13 Isx11 timer (for synchronous assignment)
Y:$2C15,0,24,S	CS 13 Isx12 timer (for synchronous assignment)
X:$2C02,0,24,S	CS 13 Present time base (I10 units)
X:$2C40,0,1	CS 13 Program-running bit
Y:$2C3F,22,1	CS 13 Run-time-error bit
L:$2C44	CS 13 U-axis target position (engineering units)
L:$2C45	CS 13 V-axis target position (engineering units)
L:$2C46	CS 13 W-axis target position (engineering units)
Y:$2C3F,18,1	CS 13 Warning-following-error bit (OR)
L:$2C47	CS 13 X-axis target position (engineering units)
L:$2C48	CS 13 Y-axis target position (engineering units)
L:$2C49	CS 13 Z-axis target position (engineering units)
L:$2D41	CS 14 A-axis target position (engineering units)
Y:$2D3F,20,1	CS 14 Amp-fault-error bit (OR of motors)
L:$2D42	CS 14 B-axis target position (engineering units)
L:$2D43	CS 14 C-axis target position (engineering units)
Y:$2D3F,21,1	CS 14 Circle-radius-error bit
X:$2D40,0,4	CS 14 Continuous motion request
Y:$2D3F,19,1	CS 14 Fatal-following-error bit (OR)
X:$2D00,0,24,S	CS 14 Host commanded time base (I10 units)
Y:$2D3F,17,1	CS 14 In-position bit (AND of motors)
X:$2D15,0,24,S	CS 14 Isx11 timer (for synchronous assignment)
Y:$2D15,0,24,S	CS 14 Isx12 timer (for synchronous assignment)
X:$2D02,0,24,S	CS 14 Present time base (I10 units)
X:$2D40,0,1	CS 14 Program-running bit
Y:$2D3F,22,1	CS 14 Run-time-error bit
L:$2D44	CS 14 U-axis target position (engineering units)
L:$2D45	CS 14 V-axis target position (engineering units)
L:$2D46	CS 14 W-axis target position (engineering units)
Y:$2D3F,18,1	CS 14 Warning-following-error bit (OR)
L:$2D47	CS 14 X-axis target position (engineering units)
L:$2D48	CS 14 Y-axis target position (engineering units)
L:$2D49	CS 14 Z-axis target position (engineering units)
L:$2E41	CS 15 A-axis target position (engineering units)
Y:$2E3F,20,1	CS 15 Amp-fault-error bit (OR of motors)
L:$2E42	CS 15 B-axis target position (engineering units)
L:$2E43	CS 15 C-axis target position (engineering units)
Y:$2E3F,21,1	CS 15 Circle-radius-error bit
X:$2E40,0,4	CS 15 Continuous motion request
Y:$2E3F,19,1	CS 15 Fatal-following-error bit (OR)
X:$2E00,0,24,S	CS 15 Host commanded time base (I10 units)
Y:$2E3F,17,1	CS 15 In-position bit (AND of motors)
X:$2E15,0,24,S	CS 15 Isx11 timer (for synchronous assignment)
Y:$2E15,0,24,S	CS 15 Isx12 timer (for synchronous assignment)
X:$2E02,0,24,S	CS 15 Present time base (I10 units)
X:$2E40,0,1	CS 15 Program-running bit
Y:$2E3F,22,1	CS 15 Run-time-error bit
L:$2E44	CS 15 U-axis target position (engineering units)
L:$2E45	CS 15 V-axis target position (engineering units)
L:$2E46	CS 15 W-axis target position (engineering units)
Y:$2E3F,18,1	CS 15 Warning-following-error bit (OR)
L:$2E47	CS 15 X-axis target position (engineering units)
L:$2E48	CS 15 Y-axis target position (engineering units)
L:$2E49	CS 15 Z-axis target position (engineering units)
L:$2F41	CS 16 A-axis target position (engineering units)
Y:$2F3F,20,1	CS 16 Amp-fault-error bit (OR of motors)
L:$2F42	CS 16 B-axis target position (engineering units)
L:$2F43	CS 16 C-axis target position (engineering units)
Y:$2F3F,21,1	CS 16 Circle-radius-error bit
X:$2F40,0,4	CS 16 Continuous motion request
Y:$2F3F,19,1	CS 16 Fatal-following-error bit (OR)
X:$2F00,0,24,S	CS 16 Host commanded time base (I10 units)
Y:$2F3F,17,1	CS 16 In-position bit (AND of motors)
X:$2F15,0,24,S	CS 16 Isx11 timer (for synchronous assignment)
Y:$2F15,0,24,S	CS 16 Isx12 timer (for synchronous assignment)
X:$2F02,0,24,S	CS 16 Present time base (I10 units)
X:$2F40,0,1	CS 16 Program-running bit
Y:$2F3F,22,1	CS 16 Run-time-error bit
L:$2F44	CS 16 U-axis target position (engineering units)
L:$2F45	CS 16 V-axis target position (engineering units)
L:$2F46	CS 16 W-axis target position (engineering units)
Y:$2F3F,18,1	CS 16 Warning-following-error bit (OR)
L:$2F47	CS 16 X-axis target position (engineering units)
L:$2F48	CS 16 Y-axis target position (engineering units)
L:$2F49	CS 16 Z-axis target position (engineering units)
L:$2141	CS 2 A-axis target position (engineering units)
Y:$213F,20,1	CS 2 Amp-fault-error bit (OR of motors)
L:$2142	CS 2 B-axis target position (engineering units)
L:$2143	CS 2 C-axis target position (engineering units)
Y:$213F,21,1	CS 2 Circle-radius-error bit
X:$2140,0,4	CS 2 Continuous motion request
Y:$213F,19,1	CS 2 Fatal-following-error bit (OR)
X:$2100,0,24,S	CS 2 Host commanded time base (I10 units)
Y:$213F,17,1	CS 2 In-position bit (AND of motors)
X:$2115,0,24,S	CS 2 Isx11 timer (for synchronous assignment)
Y:$2115,0,24,S	CS 2 Isx12 timer (for synchronous assignment)
X:$2102,0,24,S	CS 2 Present time base (I10 units)
X:$2140,0,1	CS 2 Program-running bit
Y:$213F,22,1	CS 2 Run-time-error bit
L:$2144	CS 2 U-axis target position (engineering units)
L:$2145	CS 2 V-axis target position (engineering units)
L:$2146	CS 2 W-axis target position (engineering units)
Y:$213F,18,1	CS 2 Warning-following-error bit (OR)
L:$2147	CS 2 X-axis target position (engineering units)
L:$2148	CS 2 Y-axis target position (engineering units)
L:$2149	CS 2 Z-axis target position (engineering units)
L:$2241	CS 3 A-axis target position (engineering units)
Y:$223F,20,1	CS 3 Amp-fault-error bit (OR of motors)
L:$2242	CS 3 B-axis target position (engineering units)
L:$2243	CS 3 C-axis target position (engineering units)
Y:$223F,21,1	CS 3 Circle-radius-error bit
X:$2240,0,4	CS 3 Continuous motion request
Y:$223F,19,1	CS 3 Fatal-following-error bit (OR)
X:$2200,0,24,S	CS 3 Host commanded time base (I10 units)
Y:$223F,17,1	CS 3 In-position bit (AND of motors)
X:$2215,0,24,S	CS 3 Isx11 timer (for synchronous assignment)
Y:$2215,0,24,S	CS 3 Isx12 timer (for synchronous assignment)
X:$2202,0,24,S	CS 3 Present time base (I10 units)
X:$2240,0,1	CS 3 Program-running bit
Y:$223F,22,1	CS 3 Run-time-error bit
L:$2244	CS 3 U-axis target position (engineering units)
L:$2245	CS 3 V-axis target position (engineering units)
L:$2246	CS 3 W-axis target position (engineering units)
Y:$223F,18,1	CS 3 Warning-following-error bit (OR)
L:$2247	CS 3 X-axis target position (engineering units)
L:$2248	CS 3 Y-axis target position (engineering units)
L:$2249	CS 3 Z-axis target position (engineering units)
L:$2341	CS 4 A-axis target position (engineering units)
Y:$233F,20,1	CS 4 Amp-fault-error bit (OR of motors)
L:$2342	CS 4 B-axis target position (engineering units)
L:$2343	CS 4 C-axis target position (engineering units)
Y:$233F,21,1	CS 4 Circle-radius-error bit
X:$2340,0,4	CS 4 Continuous motion request
Y:$233F,19,1	CS 4 Fatal-following-error bit (OR)
X:$2300,0,24,S	CS 4 Host commanded time base (I10 units)
Y:$233F,17,1	CS 4 In-position bit (AND of motors)
X:$2315,0,24,S	CS 4 Isx11 timer (for synchronous assignment)
Y:$2315,0,24,S	CS 4 Isx12 timer (for synchronous assignment)
X:$2302,0,24,S	CS 4 Present time base (I10 units)
X:$2340,0,1	CS 4 Program-running bit
Y:$233F,22,1	CS 4 Run-time-error bit
L:$2344	CS 4 U-axis target position (engineering units)
L:$2345	CS 4 V-axis target position (engineering units)
L:$2346	CS 4 W-axis target position (engineering units)
Y:$233F,18,1	CS 4 Warning-following-error bit (OR)
L:$2347	CS 4 X-axis target position (engineering units)
L:$2348	CS 4 Y-axis target position (engineering units)
L:$2349	CS 4 Z-axis target position (engineering units)
L:$2441	CS 5 A-axis target position (engineering units)
Y:$243F,20,1	CS 5 Amp-fault-error bit (OR of motors)
L:$2442	CS 5 B-axis target position (engineering units)
L:$2443	CS 5 C-axis target position (engineering units)
Y:$243F,21,1	CS 5 Circle-radius-error bit
X:$2440,0,4	CS 5 Continuous motion request
Y:$243F,19,1	CS 5 Fatal-following-error bit (OR)
X:$2400,0,24,S	CS 5 Host commanded time base (I10 units)
Y:$243F,17,1	CS 5 In-position bit (AND of motors)
X:$2415,0,24,S	CS 5 Isx11 timer (for synchronous assignment)
Y:$2415,0,24,S	CS 5 Isx12 timer (for synchronous assignment)
X:$2402,0,24,S	CS 5 Present time base (I10 units)
X:$2440,0,1	CS 5 Program-running bit
Y:$243F,22,1	CS 5 Run-time-error bit
L:$2444	CS 5 U-axis target position (engineering units)
L:$2445	CS 5 V-axis target position (engineering units)
L:$2446	CS 5 W-axis target position (engineering units)
Y:$243F,18,1	CS 5 Warning-following-error bit (OR)
L:$2447	CS 5 X-axis target position (engineering units)
L:$2448	CS 5 Y-axis target position (engineering units)
